t,vx_true,vy_true,vz_true,vx_est,vy_est,vz_est
0.96,-0.080518,-0.0533817,-0.0887981,-0.0642785,-0.0551447,-0.0818399
0.97,-0.0881985,-0.051304,-0.0335062,-0.0752398,-0.0520329,-0.026229
0.98,-0.0967836,-0.037441,0.0370457,-0.0887009,-0.0364875,0.0442765
0.99,-0.0932754,-0.0103281,0.113785,-0.0907448,-0.008002,0.121023
1,-0.0828701,0.00924067,0.189709,-0.0855529,0.013128,0.19708
1.01,-0.0841436,0.0177598,0.260572,-0.0906135,0.0224713,0.266725
1.02,-0.0731618,0.0232637,0.288158,-0.0794556,0.0283138,0.293577
1.03,-0.0547241,0.028944,0.277594,-0.0563992,0.0338435,0.281121
1.04,-0.0332771,0.033755,0.23876,-0.030912,0.0380872,0.242289
1.05,-0.0134671,0.036893,0.182165,-0.00852942,0.0406967,0.186806
1.06,0.00245884,0.0387115,0.108723,0.0104131,0.041553,0.114247
1.07,0.0117102,0.041105,0.0225866,0.0235408,0.0424748,0.0287124
1.08,0.0138416,0.0445884,-0.065018,0.0294388,0.0445167,-0.0588701
1.09,0.0132877,0.0478964,-0.148002,0.0323429,0.0468187,-0.142383
1.1,0.0107348,0.0499861,-0.217656,0.0324045,0.0479895,-0.212589
1.11,0.00629487,0.0507314,-0.261132,0.0297233,0.0482906,-0.256322
1.12,-0.000842915,0.0498984,-0.272631,0.0233818,0.0470998,-0.267643
1.13,-0.0115619,0.0494826,-0.252247,0.0121079,0.0468875,-0.246856
1.14,-0.0251758,0.0498486,-0.207717,-0.0026766,0.0479074,-0.201481
1.15,-0.0385229,0.050044,-0.14957,-0.0185383,0.0490637,-0.142374
1.16,-0.0503821,0.0497005,-0.0886694,-0.0336236,0.0493646,-0.0807431
1.17,-0.058224,0.0483114,-0.0331231,-0.0446171,0.048366,-0.0242029
1.18,-0.06796,0.0346595,0.0385596,-0.0592037,0.0352801,0.0479923
1.19,-0.065369,0.00823982,0.114525,-0.0617307,0.0095064,0.124725
1.2,-0.0553179,-0.0110552,0.188862,-0.056309,-0.00924309,0.199265
1.21,-0.0573907,-0.0196853,0.259299,-0.0621014,-0.0180431,0.269021
1.22,-0.0458366,-0.0253662,0.285797,-0.0504506,-0.0239023,0.294354
1.23,-0.0273489,-0.0308468,0.275389,-0.0277751,-0.0299028,0.282038
1.24,-0.00565835,-0.0355432,0.237378,-0.00244289,-0.0354384,0.243479
1.25,0.0149352,-0.0387377,0.182012,0.0202751,-0.0388254,0.189135
1.26,0.0309205,-0.0407212,0.109209,0.03962,-0.0414386,0.116838
1.27,0.039962,-0.0432146,0.0229729,0.0521922,-0.0443218,0.031119
1.28,0.0414826,-0.0467511,-0.064686,0.0570731,-0.0482706,-0.0568397
1.29,0.0398243,-0.0500667,-0.146637,0.0586735,-0.0519518,-0.139337
1.3,0.0372474,-0.052227,-0.216512,0.058722,-0.0543415,-0.209396
1.31,0.0331557,-0.0528745,-0.260479,0.0562634,-0.0548834,-0.25341
1.32,0.0268206,-0.0519879,-0.272639,0.0503053,-0.0542214,-0.265386
1.33,0.016624,-0.0516198,-0.252757,0.039656,-0.0538463,-0.244577
1.34,0.00375974,-0.0519666,-0.208999,0.0252949,-0.0536467,-0.200107
1.35,-0.00942026,-0.0519641,-0.151358,0.00980143,-0.0530916,-0.14188
1.36,-0.020547,-0.0511457,-0.0912632,-0.00421085,-0.0515975,-0.0811232
1.37,-0.0288303,-0.0492036,-0.0354652,-0.0154035,-0.0490714,-0.0247466
1.38,-0.0388738,-0.036336,0.0347951,-0.0295389,-0.0352053,0.0455258
1.39,-0.0382608,-0.0102222,0.112139,-0.0332966,-0.00798769,0.122893
1.4,-0.0298807,0.00894108,0.188874,-0.0293513,0.012403,0.199456
1.41,-0.0289242,0.0178915,0.257242,-0.0317113,0.0221693,0.267261
1.42,-0.0185351,0.0244193,0.286359,-0.0217292,0.029223,0.29499
1.43,-4.84117e-05,0.0307943,0.278276,-0.000267371,0.035723,0.284746
1.44,0.0224259,0.0362301,0.24189,0.0257653,0.0410069,0.247504
1.45,0.0439251,0.0399035,0.187802,0.0492461,0.0444786,0.194187
1.46,0.0601697,0.0418989,0.11511,0.0679725,0.0458178,0.122155
1.47,0.0690038,0.0440719,0.0288837,0.0800162,0.0470871,0.0362661
1.48,0.0700048,0.0470795,-0.0591524,0.0842301,0.0491277,-0.0519213
1.49,0.0674793,0.049832,-0.141227,0.0843528,0.0511864,-0.134339
1.5,0.0647531,0.0516654,-0.212861,0.0838416,0.0524094,-0.205958
1.51,0.0608385,0.0522696,-0.259623,0.081116,0.0525334,-0.252866
1.52,0.0546313,0.0515372,-0.274691,0.0758328,0.0517371,-0.267576
1.53,0.0444278,0.0514667,-0.257581,0.0649025,0.0518705,-0.249682
1.54,0.0314725,0.0524035,-0.215778,0.050538,0.053309,-0.207103
1.55,0.0177705,0.0535136,-0.159071,0.0346321,0.0546108,-0.149509
1.56,0.00550922,0.0539062,-0.098755,0.0195281,0.0550185,-0.088416
1.57,-0.00395974,0.0523481,-0.0404539,0.0072937,0.0535336,-0.0294211
1.58,-0.0170237,0.0372114,0.0378147,-0.00990935,0.0382617,0.048999
1.59,-0.0153786,0.0102073,0.115425,-0.0125786,0.0113691,0.126971
1.6,-0.00564332,-0.0100707,0.188921,-0.00640776,-0.00876534,0.200679
1.61,-0.00951926,-0.0197777,0.260294,-0.0136895,-0.0187228,0.27133
1.62,0.00287796,-0.0266542,0.286079,-0.00140723,-0.0258918,0.296019
1.63,0.0231878,-0.0332987,0.275946,0.0218875,-0.0331752,0.284165
1.64,0.0469792,-0.0390408,0.239212,0.0491138,-0.0394907,0.246685
1.65,0.0689991,-0.0428672,0.186816,0.0728824,-0.0431163,0.195044
1.66,0.0855894,-0.0449389,0.114486,0.0917016,-0.0453637,0.123389
1.67,0.0942862,-0.0472402,0.0283322,0.103302,-0.0478955,0.037405
1.68,0.0949193,-0.0504339,-0.0595618,0.106469,-0.0513518,-0.0503014
1.69,0.091974,-0.0534567,-0.140231,0.10625,-0.0545869,-0.131562
1.7,0.0895294,-0.0557121,-0.211895,0.106155,-0.0567497,-0.203599
1.71,0.0864205,-0.0566129,-0.25962,0.104422,-0.0579153,-0.251277
1.72,0.0806162,-0.0560883,-0.275162,0.0991342,-0.0574539,-0.266617
1.73,0.0709732,-0.0562331,-0.25857,0.0892493,-0.0575159,-0.24952
1.74,0.058631,-0.0572958,-0.217307,0.0758718,-0.0584845,-0.20785
1.75,0.045469,-0.0584028,-0.161277,0.0610332,-0.0592086,-0.150833
1.76,0.03341,-0.0588776,-0.101257,0.0469353,-0.0593703,-0.0902712
1.77,0.0238631,-0.0571513,-0.0424596,0.034864,-0.0570949,-0.0309433
1.78,0.00975558,-0.0414791,0.0376457,0.0174397,-0.0402671,0.049222
1.79,0.0106999,-0.0137525,0.116147,0.0147888,-0.0115716,0.128087
1.8,0.0198421,0.00722295,0.190479,0.0203719,0.0100176,0.202222
1.81,0.015184,0.0173515,0.262085,0.012773,0.0206336,0.272942
1.82,0.0276894,0.0249797,0.287929,0.0248374,0.0286569,0.297652
1.83,0.0486843,0.0325447,0.278192,0.0483762,0.0366176,0.286202
1.84,0.07342,0.0391088,0.241967,0.0758172,0.0436598,0.249223
1.85,0.0958861,0.0434399,0.190413,0.0999811,0.0476288,0.198348
1.86,0.11273,0.045546,0.118107,0.118966,0.0491302,0.126394
1.87,0.121071,0.0476663,0.032253,0.129808,0.0506298,0.0406141
1.88,0.121182,0.050483,-0.0555499,0.132283,0.0529349,-0.0473846
1.89,0.117768,0.053188,-0.13596,0.131101,0.055053,-0.12813
1.9,0.115426,0.0554838,-0.208955,0.130441,0.0564049,-0.201408
1.91,0.112889,0.0567488,-0.259636,0.129337,0.0569661,-0.252354
1.92,0.107358,0.0565989,-0.278097,0.124146,0.0565389,-0.270784
1.93,0.0979292,0.0570696,-0.264125,0.114187,0.0569778,-0.256333
1.94,0.0855879,0.0587095,-0.224594,0.100601,0.0587198,-0.216326
