t,x_true,y_true,x_est,y_est
2.74,0.0280792,-0.00188465,0.0528534,-0.00183331
2.75,0.0299542,-0.00122119,0.054791,-0.00127958
2.76,0.031705,-0.000513591,0.056574,-0.00069125
2.77,0.0333342,0.00022594,0.0582036,-7.27691e-05
2.78,0.0347653,0.000857016,0.0595741,0.000464062
2.79,0.0360834,0.00121312,0.0607547,0.000757797
2.8,0.0374567,0.00128478,0.0619485,0.000786745
2.81,0.0388511,0.00117578,0.0631683,0.000611866
2.82,0.0403003,0.000953299,0.0645925,0.000302079
2.83,0.0419663,0.000631955,0.0667132,-0.000140494
2.84,0.0439153,0.000218788,0.069161,-0.000647575
2.85,0.0461419,-0.000259255,0.0713258,-0.00115081
2.86,0.0485834,-0.000768063,0.0737128,-0.00167937
2.87,0.0511376,-0.00129299,0.0762271,-0.00221245
2.88,0.0536972,-0.00183525,0.0787697,-0.00274559
2.89,0.0562017,-0.0023935,0.081285,-0.00327362
2.9,0.0586578,-0.00297158,0.0837843,-0.00380185
2.91,0.0610991,-0.00357476,0.0863291,-0.00434222
2.92,0.0635192,-0.00418703,0.0888977,-0.00488458
2.93,0.0658878,-0.00479822,0.0914221,-0.00542288
2.94,0.0681661,-0.00542195,0.0938356,-0.00596688
2.95,0.070329,-0.0060787,0.0961003,-0.00653291
2.96,0.0723769,-0.00677937,0.0982125,-0.00713146
2.97,0.0743177,-0.00751582,0.100175,-0.0077659
2.98,0.0760703,-0.00815852,0.101888,-0.00831796
2.99,0.0776883,-0.00852876,0.10338,-0.00862862
3,0.0793434,-0.00861046,0.104856,-0.00866045
3.01,0.0809456,-0.00851126,0.106277,-0.00847405
3.02,0.0825977,-0.00829684,0.107877,-0.00812018
3.03,0.0844749,-0.00797857,0.11014,-0.00759009
3.04,0.0866482,-0.00756249,0.112749,-0.00702732
3.05,0.0891109,-0.00707789,0.115141,-0.00651893
3.06,0.0917943,-0.00655892,0.117758,-0.00597767
3.07,0.0945883,-0.00602019,0.120506,-0.00542299
3.08,0.0973833,-0.00546361,0.123276,-0.00486385
3.09,0.10012,-0.00489295,0.126017,-0.00430789
3.1,0.102803,-0.0043038,0.128745,-0.00375527
3.11,0.105472,-0.00368607,0.13153,-0.00319035
3.12,0.108126,-0.00305272,0.134369,-0.00261637
3.13,0.110733,-0.00241851,0.137174,-0.00206231
3.14,0.113249,-0.00177018,0.139865,-0.00150579
3.15,0.115642,-0.00108406,0.142393,-0.000926681
3.16,0.117909,-0.000347608,0.144747,-0.00031008
3.17,0.12005,0.000427966,0.146925,0.000343886
3.18,0.121972,0.00109717,0.148808,0.000911385
3.19,0.123746,0.00148469,0.15046,0.00123023
3.2,0.125547,0.00157767,0.152089,0.00128038
3.21,0.127305,0.00147799,0.153668,0.00111786
3.22,0.129121,0.00125428,0.155423,0.000816119
3.23,0.131169,0.00092287,0.157795,0.000367778
3.24,0.133517,0.000494593,0.160515,-0.000133392
3.25,0.136155,-8.14001e-07,0.163088,-0.000632675
3.26,0.139015,-0.000531058,0.165888,-0.00116645
3.27,0.141988,-0.00108306,0.168815,-0.00171077
3.28,0.144962,-0.00165599,0.171763,-0.00225868
3.29,0.147878,-0.00224636,0.174674,-0.00280391
3.3,0.15074,-0.00285816,0.177559,-0.00335522
3.31,0.153584,-0.00349661,0.180479,-0.00392452
3.32,0.156402,-0.0041432,0.183415,-0.00449734
3.33,0.159158,-0.00478306,0.1863,-0.00506424
3.34,0.16181,-0.00542687,0.189059,-0.00562979
3.35,0.164331,-0.00609629,0.191643,-0.00621713
3.36,0.166722,-0.00680605,0.194063,-0.00684144
3.37,0.168996,-0.00754957,0.196314,-0.00749925
3.38,0.171076,-0.00820615,0.19831,-0.00809138
3.39,0.172988,-0.00859423,0.200054,-0.00844929
3.4,0.174909,-0.00869062,0.201759,-0.008513
3.41,0.176767,-0.00860019,0.203401,-0.00836233
3.42,0.17867,-0.0083893,0.205178,-0.00803477
3.43,0.180792,-0.00807064,0.207521,-0.00753807
3.44,0.183208,-0.00765407,0.210214,-0.00699534
3.45,0.185913,-0.00716842,0.212831,-0.00647782
3.46,0.188841,-0.00664679,0.215671,-0.00592424
3.47,0.191878,-0.0061025,0.218639,-0.00535428
3.48,0.194915,-0.00553748,0.221629,-0.00477847
3.49,0.197892,-0.00495627,0.224589,-0.00420047
3.5,0.200815,-0.00435514,0.227523,-0.00362344
3.51,0.203714,-0.0037293,0.230487,-0.00304103
3.52,0.20658,-0.00309769,0.233458,-0.00246145
3.53,0.209375,-0.002474,0.236365,-0.00191113
3.54,0.212055,-0.00184526,0.239135,-0.001379
3.55,0.214595,-0.00118916,0.241733,-0.00084247
3.56,0.216999,-0.000493359,0.244154,-0.000281242
3.57,0.219279,0.000236508,0.246411,0.000302071
3.58,0.221361,0.000881295,0.248412,0.000814236
3.59,0.223278,0.00126149,0.250176,0.00109662
3.6,0.225205,0.00135547,0.251912,0.00111503
3.61,0.227077,0.00126463,0.253589,0.000932161
3.62,0.228995,0.00105572,0.255428,0.000616162
