t,sigma_0,sigma_1,sigma_2,sigma_8,sigma_3,sigma_4,sigma_5,sigma_6,sigma_7
148.551,0.0883557,0.0186254,0.018428,1.33974,0.00424193,0.00408229,0.00174241,0.035895,0.0340637
148.601,0.0881993,0.0186403,0.0184294,1.34046,0.00301057,0.00356192,0.0017153,0.0267899,0.0213155
148.651,0.0881226,0.0186589,0.0184308,1.34062,0.00254942,0.00522159,0.00169465,0.0281503,0.0193775
148.701,0.0880744,0.0186946,0.0184366,1.34092,0.00245786,0.00560475,0.00173207,0.0319362,0.0207041
148.751,0.0880187,0.0187289,0.0184408,1.34079,0.00243709,0.00452966,0.00174306,0.0344036,0.0362404
148.801,0.0879446,0.0187502,0.0184423,1.34122,0.00307168,0.00336924,0.00171794,0.0271819,0.0288885
148.851,0.0877817,0.0187733,0.0184437,1.34132,0.00394405,0.00487456,0.00169613,0.0258382,0.0241465
148.901,0.0876187,0.0188159,0.0184494,1.34162,0.00412564,0.00513278,0.00173314,0.0321503,0.0222934
148.951,0.0874521,0.0188536,0.0184535,1.34168,0.00414129,0.0039855,0.0017429,0.035292,0.0339233
149.001,0.0873037,0.0188785,0.0184549,1.34246,0.00295052,0.00345361,0.00171573,0.0267039,0.0213666
149.051,0.087232,0.0189076,0.0184562,1.34267,0.00250709,0.00499836,0.00169259,0.0280037,0.0193785
149.101,0.0871886,0.0189607,0.0184619,1.34297,0.00242138,0.00541191,0.00172977,0.0321749,0.0208606
149.151,0.0871415,0.0190104,0.018466,1.34286,0.00240735,0.00435503,0.00174036,0.0348394,0.0368286
149.201,0.0870797,0.0190404,0.0184675,1.34342,0.00301802,0.00326579,0.00171491,0.0274003,0.0288867
149.251,0.0869286,0.0190734,0.018469,1.34362,0.00383863,0.00479324,0.00169526,0.0257006,0.0242721
149.301,0.0867724,0.0191322,0.0184747,1.34393,0.0040104,0.0050645,0.00173231,0.0316608,0.0221907
149.351,0.0866124,0.0191835,0.0184788,1.34401,0.00404813,0.00391319,0.00174195,0.0346816,0.0333486
149.401,0.0864683,0.0192167,0.0184802,1.34476,0.00289531,0.00337979,0.00171456,0.0264742,0.021337
149.451,0.0864002,0.0192549,0.0184814,1.34495,0.0024539,0.00488486,0.0016913,0.0278558,0.0193026
149.501,0.0863627,0.0193235,0.0184871,1.34521,0.00237743,0.00530162,0.00172854,0.0320886,0.0210572
149.551,0.0863205,0.0193866,0.0184912,1.34507,0.00237889,0.0042503,0.00173925,0.0348715,0.0369055
149.601,0.0862621,0.0194231,0.0184927,1.34563,0.00297151,0.00322134,0.00171397,0.0270777,0.0284811
149.651,0.0861184,0.0194651,0.0184942,1.34585,0.00372253,0.00480016,0.00169458,0.0255621,0.0242405
149.701,0.0859687,0.0195394,0.0184999,1.34615,0.00388754,0.00506847,0.001732,0.0309419,0.0221408
149.751,0.0858149,0.0196033,0.018504,1.34623,0.00392831,0.00390081,0.00174189,0.0336687,0.0327253
149.801,0.0856761,0.0196438,0.0185054,1.34688,0.0028187,0.00332197,0.0017145,0.0261946,0.0212299
149.851,0.0856116,0.0196885,0.0185067,1.34698,0.00239198,0.00473337,0.00169106,0.0276886,0.0191805
149.901,0.0855831,0.0197694,0.0185123,1.34722,0.00233668,0.00514533,0.0017283,0.0321449,0.0214264
149.951,0.0855484,0.0198425,0.0185164,1.34703,0.00235563,0.00408156,0.00173886,0.0352228,0.0375304
150.001,0.085493,0.019883,0.0185179,1.34757,0.00289595,0.00313158,0.00171328,0.0272082,0.0284898
150.051,0.0853449,0.0199301,0.0185192,1.3476,0.00355845,0.00466583,0.00169132,0.0253757,0.0242931
150.101,0.0852051,0.0200156,0.0185248,1.34789,0.00371565,0.0049509,0.00172853,0.0310515,0.0222
150.151,0.0850611,0.0200887,0.0185289,1.34799,0.00380676,0.0037764,0.00173831,0.0338263,0.0329988
150.201,0.0849296,0.0201339,0.0185302,1.34868,0.00273515,0.00319542,0.0017111,0.0266239,0.0215735
150.251,0.0848752,0.0201836,0.0185316,1.34883,0.00233886,0.00453493,0.00169018,0.0279577,0.0193177
150.301,0.0848587,0.0202734,0.0185372,1.34909,0.00231269,0.00494995,0.00172746,0.0325129,0.0214689
150.351,0.0848369,0.0203537,0.0185413,1.34895,0.00234156,0.00389956,0.00173793,0.0356725,0.0374091
150.401,0.084795,0.0203973,0.0185427,1.3496,0.00282223,0.00305364,0.00171212,0.0273753,0.0280147
150.451,0.0846599,0.0204504,0.0185441,1.34972,0.0034145,0.00457664,0.00169003,0.0254051,0.0240418
150.501,0.0845322,0.0205463,0.0185497,1.35004,0.00355604,0.00488155,0.00172729,0.0310632,0.0221535
150.551,0.0843983,0.0206279,0.0185537,1.35013,0.0036497,0.0037097,0.00173697,0.0335738,0.0326499
150.601,0.084277,0.0206777,0.018555,1.35079,0.00264771,0.00309,0.0017096,0.0267911,0.0216331
150.651,0.0842356,0.020732,0.0185564,1.351,0.00229824,0.00438584,0.00168875,0.0281719,0.0192698
150.701,0.0842329,0.020829,0.018562,1.35126,0.00231088,0.00476882,0.00172642,0.0325643,0.0218859
150.751,0.0842234,0.0209144,0.0185661,1.35113,0.00234171,0.0037235,0.00173724,0.0357395,0.0374787
150.801,0.0841867,0.0209599,0.0185675,1.35177,0.00274688,0.00297759,0.00171154,0.0272903,0.0278419
150.851,0.0840557,0.0210181,0.0185688,1.35183,0.00322259,0.00451717,0.00168934,0.0251907,0.0239998
150.901,0.0839422,0.021123,0.0185744,1.35216,0.00336031,0.00482588,0.00172663,0.0308469,0.0220887
150.951,0.0838197,0.0212119,0.0185784,1.35227,0.00349931,0.00364837,0.00173617,0.0332655,0.0324609
151.001,0.0837077,0.0212648,0.0185797,1.35293,0.00257146,0.00298804,0.00170855,0.0269934,0.0218703
151.051,0.0836735,0.0213191,0.0185809,1.35314,0.00227977,0.00415151,0.00168517,0.0282621,0.0193581
151.101,0.0836843,0.0214191,0.0185865,1.35341,0.00233294,0.00454713,0.00172267,0.0329744,0.0219535
151.151,0.0836885,0.0215066,0.0185905,1.35332,0.00234754,0.00353242,0.0017332,0.0362364,0.0377324
151.201,0.0836641,0.0215525,0.0185919,1.35405,0.00267611,0.00291648,0.00170738,0.0275673,0.0274274
151.251,0.08355,0.0216152,0.0185933,1.35421,0.00302872,0.00446106,0.00168751,0.0252776,0.0237003
151.301,0.083451,0.0217277,0.0185989,1.35455,0.00315169,0.00478771,0.00172488,0.0308063,0.0219585
151.351,0.0833412,0.0218228,0.0186028,1.35468,0.00333841,0.00360085,0.00173458,0.0328111,0.031926
151.401,0.0832382,0.021879,0.0186041,1.3553,0.00250787,0.00289839,0.00170721,0.0270864,0.0220247
151.451,0.083212,0.0219338,0.0186054,1.35549,0.00229006,0.00396004,0.00168401,0.028249,0.019314
151.501,0.0832355,0.0220352,0.0186109,1.35578,0.00238231,0.00432711,0.00172154,0.0330263,0.022211
151.551,0.0832524,0.022123,0.0186148,1.3557,0.00237001,0.00333545,0.00173199,0.0365029,0.0379837
151.601,0.0832368,0.0221679,0.0186162,1.3565,0.00262939,0.00284925,0.00170599,0.0275046,0.0272487
151.651,0.083139,0.0222363,0.0186176,1.35675,0.00287222,0.00445459,0.00168619,0.0251426,0.023741
151.701,0.0830552,0.0223567,0.0186232,1.35713,0.00297064,0.00477988,0.00172395,0.0299657,0.0216252
151.751,0.0829558,0.0224583,0.0186271,1.35724,0.00319005,0.00358905,0.00173416,0.0317255,0.0308587
151.801,0.0828579,0.0225167,0.0186285,1.35771,0.00246939,0.00281225,0.00170723,0.0267451,0.0219704
151.851,0.0828346,0.022569,0.0186297,1.35779,0.00232018,0.0037219,0.00168412,0.028021,0.0192386
151.901,0.0828706,0.0226688,0.0186352,1.35807,0.00244896,0.00407424,0.00172163,0.0331034,0.0225898
151.951,0.0828991,0.0227542,0.0186391,1.35798,0.00239353,0.00313018,0.00173189,0.0370224,0.0391985
152.001,0.0828903,0.0227966,0.0186405,1.3588,0.00259033,0.00278784,0.00170556,0.0276441,0.0274471
152.051,0.0827929,0.0228662,0.0186417,1.35888,0.0027148,0.00433218,0.00168312,0.024794,0.0239058
152.101,0.0827234,0.02299,0.0186472,1.35926,0.00280539,0.0046854,0.00172067,0.0297677,0.0212215
152.151,0.0826312,0.0230949,0.0186511,1.3593,0.00306129,0.00352756,0.00173055,0.0312604,0.0299682
152.201,0.0825352,0.0231542,0.0186524,1.35958,0.00241119,0.00273173,0.00170343,0.0265901,0.0217977
152.251,0.0825196,0.0232048,0.0186538,1.35961,0.00238805,0.00354342,0.00168261,0.0276678,0.0190877
152.301,0.0825714,0.0233022,0.0186592,1.35988,0.00257603,0.00386227,0.00172018,0.03265,0.0230303
152.351,0.0826103,0.0233846,0.0186631,1.35975,0.00244921,0.00298833,0.00173037,0.0367236,0.0398076
152.401,0.0826067,0.0234251,0.0186644,1.36058,0.00250459,0.0027728,0.00170389,0.0271059,0.0275031
152.451,0.0825187,0.0234972,0.0186656,1.36062,0.00252688,0.00429864,0.0016814,0.0243074,0.0240776
152.501,0.0824688,0.0236258,0.0186711,1.36103,0.00258915,0.00467363,0.00171903,0.0291656,0.0207681
152.551,0.0823978,0.0237349,0.018675,1.36116,0.00286654,0.00351924,0.00172906,0.0304909,0.0292853
152.601,0.0823192,0.023796,0.0186763,1.36157,0.00236616,0.00266796,0.00170218,0.026388,0.0216002
152.651,0.0823204,0.0238452,0.0186776,1.36171,0.00250488,0.00339613,0.00168168,0.0275219,0.018942
152.701,0.0823884,0.0239396,0.0186831,1.36197,0.00275608,0.00366613,0.00171964,0.0323061,0.0235617
152.751,0.0824386,0.0240178,0.018687,1.36181,0.00253392,0.00285598,0.00173031,0.0363467,0.0400994
152.801,0.0824366,0.0240549,0.0186883,1.36257,0.00243432,0.00274005,0.00170419,0.0267268,0.0271795
152.851,0.0823465,0.0241266,0.0186896,1.36239,0.00237781,0.00422698,0.0016818,0.023871,0.0237225
152.901,0.0823153,0.0242574,0.018695,1.36276,0.00242017,0.00461353,0.0017194,0.0287662,0.0208042
152.951,0.0822633,0.0243691,0.0186989,1.36293,0.00268032,0.00349152,0.00172918,0.0300173,0.0293895
153.001,0.0821961,0.0244311,0.0187001,1.36336,0.00233712,0.00260349,0.00170194,0.0262023,0.0219416
153.051,0.0821998,0.0244741,0.0187013,1.36345,0.00262504,0.00315307,0.00167883,0.027212,0.0190879
153.101,0.0822811,0.0245604,0.0187067,1.36369,0.00293605,0.00339697,0.00171658,0.0324231,0.0235501
153.151,0.0823391,0.0246306,0.0187106,1.36343,0.00262219,0.00270806,0.00172711,0.0366394,0.0402972
153.201,0.0823345,0.0246627,0.0187119,1.36408,0.00238138,0.00271653,0.00170111,0.026525,0.0267339
153.251,0.0822502,0.0247353,0.0187133,1.3638,0.00229964,0.00419499,0.0016812,0.0235771,0.0233864
153.301,0.0822371,0.0248685,0.0187187,1.36414,0.00232265,0.0045891,0.00171882,0.0279942,0.0208227
153.351,0.0822028,0.0249836,0.0187225,1.36433,0.00255152,0.00352158,0.00172866,0.0289426,0.029183
153.401,0.0821469,0.0250473,0.0187238,1.36476,0.00233106,0.00258141,0.0017015,0.0256385,0.0222897
153.451,0.0821576,0.0250855,0.0187249,1.36488,0.00273057,0.00301541,0.00167845,0.0267689,0.0192262
153.501,0.0822499,0.0251661,0.0187303,1.36511,0.00307474,0.00322146,0.00171622,0.0321826,0.0234208
153.551,0.08232,0.0252303,0.0187342,1.36492,0.00267182,0.00261698,0.00172679,0.0364594,0.039939
153.601,0.0823281,0.0252588,0.0187355,1.36572,0.00235477,0.00271091,0.00170084,0.0261853,0.0257624
153.651,0.0822746,0.0253348,0.0187368,1.36573,0.00228449,0.004203,0.00168107,0.0233094,0.0227546
153.701,0.082283,0.0254712,0.0187423,1.36608,0.00230204,0.00459513,0.00171904,0.0272449,0.020823
153.751,0.0822686,0.0255888,0.0187461,1.36629,0.00244841,0.00356515,0.00172928,0.0279614,0.0288082
153.801,0.0822255,0.0256517,0.0187474,1.36668,0.00233533,0.00255232,0.00170239,0.0251903,0.0225348
153.851,0.082242,0.0256822,0.0187486,1.36677,0.00284509,0.00286666,0.00167939,0.0264442,0.0193462
153.901,0.0823437,0.0257546,0.018754,1.36698,0.00321417,0.00301956,0.00171709,0.0321918,0.0233542
153.951,0.0824229,0.0258104,0.0187578,1.36681,0.00272007,0.00252902,0.00172738,0.0365277,0.0399283
154.001,0.0824397,0.0258342,0.018759,1.36769,0.00234303,0.00269975,0.00170097,0.0260625,0.0252096
154.051,0.0823969,0.025908,0.0187602,1.36771,0.00231133,0.0040796,0.00167855,0.0230515,0.0222059
154.101,0.0824227,0.0260426,0.0187656,1.36805,0.00233272,0.00449749,0.0017163,0.0274084,0.0210559
154.151,0.0824211,0.0261588,0.0187694,1.3682,0.00238861,0.00353173,0.00172636,0.028405,0.0297648
154.201,0.0823823,0.0262185,0.0187707,1.36852,0.00233494,0.00250311,0.00169956,0.0256484,0.023273
154.251,0.0824009,0.0262412,0.018772,1.36853,0.0029503,0.0027122,0.00167902,0.0266128,0.0196156
154.301,0.0825119,0.0263036,0.0187773,1.36873,0.00335661,0.00282374,0.00171673,0.0322865,0.0232628
154.351,0.082602,0.0263496,0.0187811,1.3686,0.0027665,0.00244918,0.00172683,0.0367184,0.0395833
154.401,0.082627,0.0263669,0.0187823,1.36952,0.00233281,0.00267068,0.00170012,0.0261104,0.0246803
154.451,0.0826078,0.0264385,0.0187835,1.36968,0.00240755,0.00394321,0.00167755,0.0231913,0.0219929
154.501,0.0826555,0.026569,0.0187889,1.37003,0.00245731,0.00435182,0.00171534,0.0275604,0.0209087
154.551,0.0826721,0.0266811,0.0187927,1.37013,0.00234142,0.00345181,0.00172548,0.0285946,0.0296589
154.601,0.082642,0.0267365,0.0187939,1.37039,0.00234845,0.00244624,0.00169883,0.0259937,0.0233544
154.651,0.0826687,0.0267516,0.0187953,1.3704,0.00309479,0.00254953,0.00167855,0.0269752,0.0196812
154.701,0.0827913,0.026802,0.0188006,1.3706,0.00351868,0.00262454,0.00171663,0.0326386,0.0234182
154.751,0.0828898,0.0268373,0.0188044,1.37049,0.00282145,0.00238989,0.00172716,0.0369092,0.0393729
154.801,0.0829203,0.0268499,0.0188057,1.37143,0.0023397,0.00262477,0.00170075,0.026147,0.0242603
154.851,0.082919,0.0269181,0.0188068,1.37167,0.00256163,0.00374859,0.00167824,0.0233565,0.0217333
154.901,0.0829883,0.0270414,0.0188122,1.37203,0.00264398,0.00415445,0.00171601,0.0277982,0.020796
154.951,0.0830242,0.0271488,0.018816,1.37212,0.00234651,0.00337794,0.00172632,0.028858,0.0299637
155.001,0.0830037,0.0272009,0.0188173,1.37235,0.00236753,0.00240259,0.00169993,0.0262975,0.0235945
155.051,0.0830258,0.0272042,0.0188184,1.37226,0.00315514,0.00239234,0.00167739,0.0270641,0.0197802
155.101,0.0831548,0.0272385,0.0188237,1.37246,0.00360925,0.00242887,0.00171518,0.0331906,0.0235396
155.151,0.0832606,0.0272595,0.0188275,1.37236,0.00284694,0.00233962,0.00172542,0.0376793,0.039805
155.201,0.0832975,0.0272652,0.0188287,1.37338,0.00235093,0.00255751,0.00169891,0.0265482,0.0239178
155.251,0.0833113,0.0273294,0.01883,1.37364,0.00274421,0.00355732,0.00167871,0.0237245,0.0215954
155.301,0.0834001,0.0274444,0.0188354,1.37399,0.00287401,0.00394027,0.00171646,0.0281138,0.0206724
155.351,0.0834502,0.0275438,0.0188392,1.37402,0.00238769,0.00326994,0.00172672,0.0290827,0.029971
155.401,0.0834337,0.0275893,0.0188404,1.37412,0.00237782,0.00236817,0.00170028,0.0266208,0.0238498
155.451,0.0834558,0.0275834,0.0188416,1.37396,0.00321272,0.00231146,0.00167768,0.0274691,0.0199787
155.501,0.0835896,0.0276032,0.0188469,1.37417,0.00366905,0.0023285,0.00171546,0.033739,0.0234809
155.551,0.0836998,0.0276107,0.0188506,1.37408,0.00285103,0.00234213,0.00172568,0.0380704,0.0396977
155.601,0.0837406,0.0276087,0.0188519,1.37511,0.00236848,0.00249861,0.00169913,0.0267103,0.0234194
155.651,0.0837723,0.0276665,0.0188532,1.37539,0.00296095,0.00333001,0.00167899,0.0240247,0.0214655
155.701,0.0838816,0.0277696,0.0188585,1.37576,0.00315159,0.00366841,0.00171706,0.0279,0.0204135
155.751,0.0839491,0.0278581,0.0188624,1.37573,0.00247828,0.00310859,0.00172768,0.0289221,0.0296679
155.801,0.0839425,0.0278966,0.0188636,1.37578,0.00239363,0.00234545,0.00170147,0.0265563,0.02369
155.851,0.0839659,0.0278808,0.0188648,1.3756,0.0032463,0.00228099,0.00167888,0.0273387,0.0197493
155.901,0.084104,0.0278843,0.0188701,1.37579,0.00371414,0.00230868,0.00171661,0.0340226,0.0242035
155.951,0.0842174,0.027877,0.0188738,1.37569,0.00285478,0.00238793,0.00172673,0.0382904,0.0405331
156.001,0.0842607,0.0278665,0.018875,1.37673,0.00240432,0.00243804,0.00170001,0.026649,0.0236472
156.051,0.0842951,0.0279134,0.0188762,1.37686,0.00315501,0.00303862,0.0016774,0.023948,0.02161
156.101,0.0844209,0.0280006,0.0188815,1.37723,0.00340231,0.00333085,0.00171521,0.0282878,0.0202351
156.151,0.0845072,0.0280767,0.0188853,1.37725,0.0025803,0.00292936,0.00172579,0.0294225,0.030052
156.201,0.0845158,0.0281099,0.0188866,1.37742,0.00241206,0.00233787,0.0016999,0.0267866,0.0238438
156.251,0.0845542,0.0280862,0.0188879,1.37746,0.00331873,0.00233793,0.00167986,0.0273561,0.0197566
156.301,0.0846975,0.0280702,0.0188932,1.37767,0.00378599,0.00241017,0.00171756,0.0341226,0.0245064
156.351,0.0848122,0.0280457,0.0188969,1.37753,0.00290412,0.0025125,0.00172759,0.0383698,0.0407321
156.401,0.0848574,0.0280276,0.0188981,1.37858,0.00246911,0.00237806,0.00170071,0.0265248,0.023333
156.451,0.0848948,0.0280656,0.0188993,1.37859,0.00341957,0.00276349,0.001678,0.0241265,0.0213446
156.501,0.0850378,0.0281354,0.0189046,1.37895,0.00372516,0.00299753,0.00171579,0.0283836,0.0201818
156.551,0.0851476,0.0281981,0.0189084,1.37906,0.00274344,0.00274802,0.0017263,0.0295742,0.0304774
156.601,0.0851736,0.0282251,0.0189097,1.37938,0.0024383,0.00236524,0.00170035,0.0269512,0.0242479
156.651,0.0852191,0.028192,0.018911,1.37952,0.0033815,0.00248554,0.00168042,0.027569,0.0198738
156.701,0.0853642,0.0281569,0.0189163,1.3797,0.00380967,0.00260351,0.00171843,0.0342534,0.0244401
156.751,0.0854741,0.0281166,0.0189201,1.37951,0.00288372,0.00265241,0.00172879,0.0385688,0.0404094
156.801,0.0855149,0.0280898,0.0189213,1.3805,0.0025071,0.00234893,0.00170207,0.026536,0.0229029
156.851,0.0855529,0.0281155,0.0189224,1.38037,0.00358863,0.00252513,0.00167933,0.0242474,0.0210685
156.901,0.0857071,0.028166,0.0189277,1.3807,0.0039528,0.00269843,0.00171706,0.0284858,0.0201771
156.951,0.0858301,0.0282134,0.0189315,1.38079,0.00288799,0.00260569,0.00172768,0.0298113,0.0311937
157.001,0.0858634,0.0282329,0.0189328,1.38111,0.00244846,0.0023995,0.00170191,0.0269573,0.0247017
157.051,0.0859008,0.02819,0.018934,1.38116,0.00332459,0.00264604,0.00167967,0.0274138,0.0200405
157.101,0.086042,0.0281385,0.0189393,1.38134,0.00374576,0.00284561,0.0017174,0.0347367,0.0247321
157.151,0.0861502,0.0280827,0.018943,1.38115,0.00283607,0.00282442,0.00172764,0.0393882,0.0413441
157.201,0.0861926,0.0280455,0.0189442,1.38223,0.00254665,0.00233995,0.0017011,0.0267542,0.0229351
157.251,0.0862514,0.0280614,0.0189456,1.38233,0.0037832,0.00238132,0.00168083,0.0243677,0.0211263
157.301,0.0864193,0.0280943,0.0189509,1.38269,0.00417404,0.00248601,0.0017185,0.0283853,0.0200004
157.351,0.0865538,0.0281247,0.0189547,1.38276,0.00305408,0.00248444,0.00172918,0.0296835,0.0311737
157.401,0.0865934,0.0281337,0.018956,1.38305,0.00245698,0.00245858,0.00170355,0.0271412,0.0250774
157.451,0.0866267,0.0280801,0.0189572,1.38311,0.00325285,0.00289425,0.00168136,0.027605,0.0202556
157.501,0.086762,0.028011,0.0189625,1.38329,0.00361679,0.00315804,0.00171902,0.0350312,0.0247183
157.551,0.0868628,0.02794,0.0189662,1.38309,0.00275594,0.00304421,0.00172912,0.039737,0.0410502
157.601,0.0869005,0.0278934,0.0189674,1.38414,0.00256561,0.00236289,0.00170233,0.0267805,0.0224623
157.651,0.086966,0.0278965,0.0189687,1.38419,0.00393605,0.00229702,0.00168203,0.0248391,0.0208472
157.701,0.087143,0.0279078,0.0189741,1.38453,0.00434595,0.00233519,0.00171999,0.0285755,0.0200464
157.751,0.0872864,0.027919,0.0189779,1.3846,0.0031687,0.00238334,0.00173095,0.0298858,0.0313914
157.801,0.0873288,0.0279157,0.0189793,1.38486,0.00244263,0.00254121,0.00170543,0.027346,0.0253747
157.851,0.0873539,0.0278512,0.0189804,1.38487,0.00313634,0.00316409,0.00168316,0.0279147,0.0203484
157.901,0.08748,0.0277657,0.0189857,1.38504,0.00344281,0.00349406,0.00172074,0.0357166,0.0249473
157.951,0.0875726,0.0276808,0.0189895,1.38486,0.00265169,0.00325285,0.00173089,0.0405396,0.0415189
158.001,0.0876075,0.027625,0.0189907,1.38596,0.00256532,0.00241456,0.00170421,0.0272383,0.022527
158.051,0.0876657,0.0276137,0.0189919,1.38585,0.00391768,0.00232249,0.00168153,0.0250873,0.0208944
158.101,0.0878432,0.0276048,0.0189972,1.38621,0.00436209,0.00231671,0.00171917,0.0289661,0.0198288
158.151,0.0879879,0.0275973,0.019001,1.38623,0.0032308,0.00234691,0.00172998,0.0303869,0.031577
158.201,0.0880328,0.0275838,0.0190024,1.38645,0.00242811,0.00262569,0.00170463,0.0276207,0.0256452
158.251,0.0880569,0.0275113,0.0190037,1.38652,0.00302576,0.00346548,0.00168488,0.0280425,0.0205705
158.301,0.0881725,0.0274106,0.019009,1.38668,0.00328035,0.00383976,0.00172239,0.0358061,0.0250144
158.351,0.0882533,0.027313,0.0190128,1.38646,0.00257339,0.00348812,0.00173239,0.0407623,0.0414542
158.401,0.0882806,0.0272477,0.019014,1.38754,0.00256511,0.00251442,0.00170545,0.0272638,0.0223762
158.451,0.0883376,0.0272219,0.0190152,1.3874,0.003927,0.00248384,0.0016826,0.0252329,0.02082
158.501,0.0885149,0.0271912,0.0190205,1.38774,0.00438807,0.00246008,0.0017202,0.0291282,0.0197311
158.551,0.0886644,0.0271638,0.0190243,1.38779,0.00330209,0.00239566,0.00173111,0.0305391,0.0317738
158.601,0.0887147,0.0271392,0.0190257,1.38807,0.00241317,0.00275695,0.00170596,0.0277109,0.025943
158.651,0.0887358,0.027058,0.019027,1.38817,0.00290626,0.00381641,0.00168647,0.0281902,0.0207577
158.701,0.08884,0.0269418,0.0190324,1.38833,0.00310578,0.00422537,0.00172426,0.0357941,0.0250526
158.751,0.0889071,0.0268325,0.0190362,1.38809,0.00249474,0.00370751,0.00173449,0.0407484,0.0411469
158.801,0.0889249,0.0267601,0.0190374,1.38912,0.00254898,0.00263343,0.00170759,0.0271233,0.0220858
158.851,0.0889776,0.026722,0.0190386,1.38891,0.00388633,0.00272298,0.00168461,0.0253194,0.0205096
158.901,0.0891509,0.0266724,0.0190439,1.38923,0.00433091,0.00271011,0.00172211,0.0293101,0.0197695
158.951,0.0892952,0.0266274,0.0190478,1.38923,0.00330885,0.00250567,0.00173285,0.0308621,0.0323878
159.001,0.0893374,0.0265912,0.0190491,1.38939,0.00239036,0.00284917,0.00170744,0.0278119,0.0264652
159.051,0.089339,0.0265021,0.0190503,1.38936,0.00271895,0.00407106,0.00168542,0.0281754,0.0211304
159.101,0.0894261,0.0263767,0.0190556,1.38952,0.00286133,0.00450912,0.00172291,0.0363366,0.0251033
159.151,0.0894781,0.026259,0.0190594,1.38928,0.00240218,0.00390647,0.00173284,0.0415233,0.0415611
159.201,0.0894881,0.0261797,0.0190606,1.39038,0.00250872,0.0027656,0.00170581,0.0276375,0.0220523
159.251,0.0895467,0.0261299,0.0190619,1.39032,0.00380642,0.00305215,0.0016852,0.0257795,0.0206023
159.301,0.0897161,0.0260617,0.0190673,1.39067,0.00427028,0.00306105,0.00172269,0.0293994,0.0196628
159.351,0.0898576,0.0259994,0.0190711,1.39066,0.00331469,0.00270285,0.00173355,0.0308163,0.0323235
159.401,0.0899008,0.0259528,0.0190725,1.39085,0.00237875,0.00298036,0.0017084,0.027944,0.0267088
159.451,0.0898948,0.0258588,0.0190737,1.39087,0.00258324,0.00435988,0.00168655,0.0282073,0.0212514
159.501,0.0899667,0.0257248,0.019079,1.39102,0.00268536,0.00482743,0.001724,0.036367,0.0252991
159.551,0.0900046,0.0256003,0.0190828,1.3908,0.00236279,0.00410647,0.00173382,0.0415608,0.0415587
159.601,0.0900052,0.0255157,0.019084,1.39191,0.00248522,0.00293541,0.00170662,0.0275024,0.0220854
159.651,0.0900693,0.0254549,0.0190854,1.39198,0.00375506,0.00344057,0.00168608,0.0259245,0.0206116
159.701,0.0902334,0.0253698,0.0190907,1.39233,0.00418499,0.00349708,0.00172388,0.029095,0.0195517
159.751,0.0903689,0.0252911,0.0190946,1.39232,0.00329745,0.00298305,0.00173505,0.0306615,0.0322085
159.801,0.090407,0.0252346,0.019096,1.39247,0.00236731,0.00312805,0.00171003,0.0279773,0.0270826
159.851,0.0903877,0.025137,0.0190972,1.39251,0.00244351,0.00465112,0.00168822,0.0283903,0.0214669
159.901,0.0904382,0.0249966,0.0191026,1.39264,0.00249822,0.0051351,0.00172561,0.0369151,0.0253351
159.951,0.0904562,0.0248684,0.0191064,1.39239,0.00235451,0.00429001,0.00173548,0.0421999,0.0417564
160.001,0.0904434,0.0247818,0.0191076,1.39349,0.00244527,0.00308856,0.0017084,0.0278953,0.0223019
160.051,0.0904899,0.0247134,0.0191088,1.3934,0.00356198,0.00376203,0.00168554,0.0262104,0.0207408
160.101,0.0906404,0.0246179,0.0191141,1.39374,0.00397517,0.00383997,0.00172301,0.0297697,0.0194577
160.151,0.0907659,0.02453,0.019118,1.39371,0.00321449,0.0032122,0.00173402,0.0314107,0.0325407
160.201,0.0907962,0.0244669,0.0191194,1.39382,0.00235415,0.00323332,0.00170915,0.0284495,0.0275178
160.251,0.090767,0.0243679,0.0191208,1.39388,0.00235031,0.00488896,0.0016898,0.0285399,0.0217808
160.301,0.090799,0.0242264,0.0191262,1.39403,0.00238244,0.00535096,0.00172712,0.0370506,0.0252151
160.351,0.0908011,0.0240986,0.01913,1.39382,0.00239015,0.00441088,0.00173705,0.0423741,0.0414184
160.401,0.0907796,0.0240115,0.0191312,1.39497,0.00241204,0.00323885,0.0017101,0.0279136,0.0222699
160.451,0.0908294,0.0239373,0.0191324,1.3951,0.0033707,0.0041413,0.00168729,0.0264513,0.0208093
160.501,0.090967,0.0238325,0.0191378,1.39545,0.0037714,0.00426176,0.00172469,0.0299791,0.0193193
160.551,0.0910774,0.0237352,0.0191417,1.39537,0.00311795,0.00351904,0.00173573,0.031646,0.0325282
160.601,0.0910952,0.0236662,0.0191431,1.3954,0.00235719,0.0033506,0.00171095,0.0287767,0.0275902
160.651,0.0910507,0.023567,0.0191445,1.39545,0.00230559,0.00513172,0.0016918,0.0289183,0.021781
160.701,0.0910605,0.0234268,0.0191499,1.3956,0.00232868,0.00556388,0.00172936,0.0370978,0.0254949
160.751,0.091043,0.0233016,0.0191538,1.3954,0.00248454,0.00452923,0.00173952,0.0423605,0.0415917
160.801,0.0910084,0.0232152,0.019155,1.39656,0.0023734,0.00338611,0.00171255,0.0279584,0.0223552
160.851,0.0910444,0.023137,0.0191562,1.39663,0.00312476,0.004465,0.00168957,0.0266414,0.0208411
