t,sigma_0,sigma_1,sigma_2,sigma_8,sigma_3,sigma_4,sigma_5,sigma_6,sigma_7
5.851,0.00375011,0.00381239,0.00381592,0.093897,0.00273601,0.00273902,0.00180057,0.0840166,0.0814239
5.901,0.00378105,0.00384257,0.00384732,0.0942946,0.00282855,0.00281489,0.0018437,0.0836031,0.0811745
5.951,0.00380352,0.00386423,0.00386824,0.0947031,0.00284424,0.0028319,0.00184138,0.082461,0.0802275
6.001,0.00381215,0.00387192,0.00387258,0.0952444,0.00275914,0.00277414,0.00180713,0.0804253,0.078466
6.051,0.00382164,0.00388205,0.00387825,0.0957093,0.00268457,0.00270621,0.00180582,0.0789507,0.0770023
6.101,0.00385157,0.00391332,0.00390911,0.0961766,0.00275938,0.00277628,0.00184955,0.0787506,0.0766034
6.151,0.0038731,0.00393658,0.00393017,0.0966533,0.00279299,0.00280731,0.00184763,0.0778778,0.0757158
6.201,0.0038815,0.00394592,0.00393524,0.0971207,0.00275462,0.00276295,0.00179957,0.0762512,0.0742273
6.251,0.00389108,0.00395426,0.00393995,0.0975725,0.0027006,0.00268671,0.00178599,0.0748136,0.073003
6.301,0.00392213,0.00398321,0.00396995,0.0979782,0.00278546,0.00276146,0.00182794,0.0745231,0.0728239
6.351,0.00394487,0.00400385,0.00399009,0.0983899,0.00279929,0.00278007,0.00182868,0.0736641,0.0721054
6.401,0.0039539,0.00401097,0.00399453,0.0989482,0.00272193,0.00272569,0.00179574,0.072072,0.0706964
6.451,0.0039629,0.00402001,0.00399927,0.0994214,0.00264678,0.0026531,0.00178712,0.0708885,0.0695126
6.501,0.00399276,0.00405018,0.00402873,0.0998976,0.00271528,0.00272203,0.00182963,0.0707432,0.0692077
6.551,0.00401456,0.00407266,0.004049,0.10038,0.00274654,0.00275261,0.00183063,0.0700736,0.0685127
6.601,0.00402349,0.00408174,0.00405419,0.100856,0.00271261,0.00271087,0.00178801,0.0688092,0.0673358
6.651,0.00403431,0.00409024,0.00405983,0.101318,0.00267301,0.0026446,0.00177508,0.0677214,0.0663905
6.701,0.00406561,0.00411788,0.00408864,0.101732,0.00275276,0.00271738,0.0018164,0.067517,0.0662675
6.751,0.00408868,0.00413733,0.00410803,0.102147,0.00276349,0.00273715,0.00181908,0.0668524,0.0657164
6.801,0.00409804,0.00414368,0.00411243,0.102718,0.00269058,0.00268497,0.00178676,0.0655647,0.0645554
6.851,0.0041074,0.00415218,0.00411706,0.103198,0.00262234,0.00261354,0.00177466,0.0646193,0.0636025
6.901,0.0041375,0.00418127,0.00414538,0.103683,0.0026863,0.00268008,0.00181641,0.0645152,0.0633616
6.951,0.00415978,0.00420293,0.00416497,0.104169,0.00271414,0.00271046,0.00181951,0.0639876,0.0628039
7.001,0.00416926,0.00421156,0.0041702,0.104652,0.00268175,0.00267154,0.00178022,0.0629739,0.0618498
7.051,0.00418046,0.00421926,0.00417573,0.105123,0.00264546,0.00260552,0.00176542,0.0621015,0.0610791
7.101,0.00421191,0.00424533,0.00420334,0.105545,0.00272055,0.00267467,0.00180604,0.0619595,0.0609962
7.151,0.00423521,0.00426339,0.00422196,0.105965,0.00272758,0.00269531,0.00180972,0.0614387,0.0605743
7.201,0.00424496,0.00426889,0.00422631,0.106545,0.00265989,0.00264646,0.00177797,0.0603761,0.0596029
7.251,0.00425485,0.00427678,0.0042309,0.107032,0.00259999,0.00257593,0.0017637,0.0596117,0.0588283
7.301,0.00428531,0.00430463,0.0042582,0.107524,0.00266042,0.00263961,0.00180484,0.05954,0.0586368
7.351,0.00430816,0.00432526,0.00427717,0.108014,0.00268502,0.00267053,0.00180927,0.0591179,0.0581859
7.401,0.00431829,0.0043333,0.00428242,0.108504,0.00265307,0.00263681,0.00177266,0.0582911,0.0574014
7.451,0.00432931,0.00433959,0.00428715,0.108982,0.00261439,0.00256591,0.00175469,0.0575602,0.0567456
7.501,0.00436091,0.004364,0.00431375,0.109412,0.00268586,0.00263208,0.00179496,0.057472,0.0567007
7.551,0.00438458,0.00438076,0.00433185,0.109836,0.00269157,0.00265586,0.00180001,0.0570683,0.0563884
7.601,0.00439492,0.0043856,0.00433635,0.110425,0.00263041,0.00261135,0.00176921,0.0561771,0.0555643
7.651,0.00440623,0.00439362,0.00434183,0.110918,0.0025872,0.00254944,0.00175649,0.0555722,0.0549465
7.701,0.00443736,0.00442036,0.00436837,0.111417,0.00264605,0.00261026,0.00179746,0.0555273,0.0547949
7.751,0.00446106,0.00443997,0.00438691,0.111912,0.00266748,0.00264222,0.00180289,0.0551835,0.0544263
7.801,0.00447186,0.00444723,0.00439216,0.112407,0.00263283,0.00261227,0.00176806,0.054492,0.0537659
7.851,0.00448332,0.0044526,0.00439684,0.112892,0.0025958,0.00254245,0.0017492,0.0538835,0.0532125
7.901,0.00451526,0.00447554,0.00442262,0.113329,0.00266479,0.00260635,0.00178913,0.0538364,0.0531968
7.951,0.00453927,0.004491,0.00444023,0.113758,0.00266774,0.00263175,0.00179481,0.0535169,0.0529667
8.001,0.00454993,0.00449505,0.00444476,0.114354,0.00261139,0.00258822,0.00176443,0.0527469,0.052247
8.051,0.00456168,0.00450228,0.00445012,0.114853,0.00257335,0.00252399,0.00174985,0.0522381,0.0517274
8.101,0.00459323,0.00452755,0.00447572,0.115356,0.00262893,0.00258005,0.00179,0.052213,0.0516028
8.151,0.00461738,0.00454582,0.00449357,0.115852,0.00264571,0.00261182,0.00179596,0.0519293,0.0512991
8.201,0.00462855,0.00455224,0.00449867,0.116353,0.00260865,0.00258669,0.0017624,0.0513447,0.0507391
8.251,0.00464024,0.0045568,0.00450327,0.116844,0.00257287,0.00251937,0.00174306,0.0508362,0.05027
8.301,0.00467231,0.0045783,0.00452829,0.11729,0.0026392,0.00258074,0.0017828,0.0508232,0.0502786
8.351,0.0046965,0.00459256,0.00454548,0.117724,0.00264036,0.00260745,0.00178908,0.050573,0.0501176
8.401,0.00470735,0.00459591,0.00455006,0.118324,0.0025893,0.00256491,0.00175911,0.0499029,0.0494844
8.451,0.00471892,0.0046018,0.00455468,0.118828,0.00255133,0.00249376,0.00174133,0.0494619,0.0490337
8.501,0.00475079,0.00462567,0.00457948,0.119334,0.00260554,0.00254629,0.00178129,0.0494588,0.0489366
8.551,0.00477549,0.00464275,0.00459688,0.119832,0.0026198,0.00257983,0.00178804,0.0492296,0.0486951
8.601,0.00478718,0.0046485,0.00460203,0.120338,0.00258205,0.00256131,0.00175603,0.0487368,0.0482212
8.651,0.0047998,0.00465304,0.00460742,0.120836,0.00255482,0.00250617,0.00173917,0.048326,0.0478364
8.701,0.00483195,0.00467345,0.00463188,0.12129,0.00261867,0.00256604,0.00177897,0.0483421,0.0478649
8.751,0.0048562,0.00468677,0.00464877,0.12173,0.00261898,0.00259317,0.00178585,0.0481483,0.0477591
8.801,0.00486699,0.00468946,0.00465336,0.122334,0.00257216,0.00254949,0.00175595,0.0475517,0.0471927
8.851,0.00487882,0.00469458,0.00465791,0.122841,0.00253787,0.002477,0.00173703,0.0471759,0.046808
8.901,0.00491102,0.00471726,0.00468203,0.12335,0.00259065,0.00252565,0.00177675,0.0471912,0.0467335
8.951,0.00493614,0.00473323,0.00469901,0.123849,0.00260195,0.00255946,0.00178396,0.0470056,0.0465418
9.001,0.00494808,0.00473825,0.00470413,0.124361,0.00256236,0.00254518,0.00175287,0.046581,0.0461331
9.051,0.00496047,0.00474213,0.00470943,0.124865,0.00253219,0.00249341,0.00173538,0.0462322,0.0458001
9.101,0.00499213,0.00476144,0.00473315,0.125324,0.00259229,0.00255074,0.0017746,0.0462731,0.0458434
9.151,0.00501583,0.00477375,0.00474952,0.125767,0.00259161,0.00257615,0.00178142,0.0461258,0.0457879
9.201,0.00502621,0.00477579,0.00475403,0.126376,0.00255054,0.00253103,0.00175159,0.0455876,0.045273
9.251,0.00503822,0.00478024,0.00475852,0.126888,0.00252027,0.00245888,0.00173211,0.0452662,0.0449449
9.301,0.00507056,0.00480181,0.00478202,0.127402,0.00257178,0.00250428,0.00177159,0.0452963,0.0448882
9.351,0.00509587,0.00481676,0.00479857,0.127902,0.00258114,0.00253836,0.00177908,0.0451446,0.0447392
9.401,0.00510784,0.00482111,0.00480359,0.128419,0.00253989,0.00252734,0.00174846,0.0447762,0.0443834
9.451,0.00511923,0.00482389,0.00480814,0.128927,0.00250055,0.00247477,0.00172823,0.0444677,0.0440833
9.501,0.00515008,0.00484226,0.0048312,0.129393,0.00255796,0.00253132,0.00176741,0.0445323,0.0441418
9.551,0.00517307,0.00485388,0.00484718,0.129839,0.00255921,0.00255516,0.00177466,0.0444269,0.0441287
9.601,0.00518296,0.00485567,0.00485167,0.130451,0.00252439,0.00250933,0.00174522,0.0439395,0.0436599
9.651,0.0051957,0.00486029,0.00485685,0.130967,0.00250496,0.00244632,0.00172808,0.0436779,0.0433907
9.701,0.00522814,0.00488103,0.00487988,0.131484,0.00255656,0.00248967,0.00176777,0.0437202,0.0433519
9.751,0.0052536,0.00489521,0.00489616,0.131986,0.00256486,0.00252431,0.00177574,0.0435985,0.0432406
9.801,0.00526551,0.00489906,0.00490119,0.132508,0.00252254,0.0025157,0.00174573,0.0432746,0.0429266
9.851,0.00527632,0.00490154,0.0049057,0.13302,0.00247939,0.00246843,0.00172511,0.0430091,0.0426617
9.901,0.00530621,0.00491943,0.00492821,0.13349,0.00253351,0.00252406,0.00176407,0.0430937,0.0427319
9.951,0.00532822,0.0049307,0.00494387,0.13394,0.0025372,0.00254541,0.00177158,0.0430212,0.0427553
10.001,0.00533732,0.00493237,0.00494837,0.134555,0.00250776,0.00249836,0.00174243,0.0425717,0.0423186
10.051,0.0053497,0.00493661,0.00495346,0.135074,0.0024873,0.00243692,0.00172462,0.0423427,0.0420848
10.101,0.0053816,0.00495654,0.00497583,0.135593,0.00253644,0.00247686,0.00176374,0.042399,0.0420585
