t,err_imu_only,err_contact
4.31,0.0343497,0.00909525
4.32,0.0342781,0.00883391
4.33,0.0344189,0.008942
4.34,0.0344123,0.00939155
4.35,0.0350406,0.00990285
4.36,0.0349736,0.0106931
4.37,0.0355699,0.0114283
4.38,0.0360685,0.0120572
4.39,0.0365593,0.0128708
4.4,0.0370415,0.0141056
4.41,0.0376418,0.0150469
4.42,0.0376867,0.0151832
4.43,0.0381687,0.0142508
4.44,0.0383256,0.0130828
4.45,0.0379565,0.0125187
4.46,0.037868,0.0120379
4.47,0.0374493,0.0109782
4.48,0.0374826,0.0103212
4.49,0.0372626,0.00968771
4.5,0.0369107,0.00907095
4.51,0.0368614,0.00859162
4.52,0.036936,0.00880844
4.53,0.0372011,0.00908131
4.54,0.0374026,0.00906797
4.55,0.0376503,0.00911221
4.56,0.0380409,0.00924935
4.57,0.0385154,0.00938975
4.58,0.03938,0.0106251
4.59,0.0397431,0.0117956
4.6,0.0402695,0.0132578
4.61,0.0408749,0.0146553
4.62,0.0413001,0.0150944
4.63,0.0412618,0.0138532
4.64,0.0414943,0.0132023
4.65,0.0417367,0.0132828
4.66,0.0418881,0.0131195
4.67,0.0414705,0.0123217
4.68,0.0414418,0.0116512
4.69,0.0414066,0.0110066
4.7,0.0414551,0.010324
4.71,0.0413347,0.00981494
4.72,0.041575,0.00956115
4.73,0.0415811,0.00948559
4.74,0.0418917,0.00981549
4.75,0.042178,0.0103118
4.76,0.042382,0.0108303
4.77,0.0428783,0.0117073
4.78,0.0435847,0.0127392
4.79,0.0442127,0.0137436
4.8,0.0446698,0.0150057
4.81,0.0451807,0.0158297
4.82,0.0454346,0.0157674
4.83,0.0453625,0.0144174
4.84,0.0453582,0.0133519
4.85,0.0451715,0.0130052
4.86,0.0448465,0.0123868
4.87,0.0444966,0.0116994
4.88,0.0443915,0.0110703
4.89,0.043938,0.0102885
4.9,0.0434828,0.00952701
4.91,0.0434107,0.00952349
4.92,0.0435373,0.00938121
4.93,0.0435249,0.00927472
4.94,0.0439329,0.00939103
4.95,0.0443197,0.00944153
4.96,0.0445037,0.0098524
4.97,0.044972,0.0102293
4.98,0.045588,0.0110728
4.99,0.0459609,0.0126582
5,0.0462968,0.0141076
5.01,0.0469825,0.0149869
5.02,0.0473629,0.0151383
5.03,0.0474978,0.0138448
5.04,0.0477437,0.0127767
5.05,0.0477399,0.0126543
5.06,0.0473758,0.0122641
5.07,0.0472612,0.0120301
5.08,0.0471831,0.0114338
5.09,0.0471647,0.0109409
5.1,0.0469257,0.0104202
5.11,0.0468099,0.0100956
5.12,0.0468839,0.00988203
5.13,0.0467955,0.00956256
5.14,0.0472561,0.00970135
