t,roll_err_deg,roll_err_rms_deg,bay_err_rms,roll_sigma_deg,bay_err,bay_sigma,turning
1.2,-0.386422,0.702572,0.113801,0.998532,0.0749949,0.17044,0
1.21,-0.356026,0.695019,0.11265,0.997691,0.0718617,0.170288,0
1.22,-0.348449,0.684145,0.111071,0.996839,0.0700466,0.170168,0
1.23,-0.373696,0.670549,0.109168,0.99531,0.0716252,0.169961,0
1.24,-0.385608,0.655716,0.107098,0.993599,0.070256,0.169757,0
1.25,-0.395595,0.640933,0.105044,0.992685,0.0694055,0.169703,0
1.26,-0.402745,0.626902,0.103166,0.991733,0.0677143,0.169647,0
1.27,-0.400543,0.614139,0.101509,0.990698,0.0650445,0.16958,0
1.28,-0.397366,0.602437,0.0999428,0.989554,0.0618443,0.169496,0
1.29,-0.395132,0.59084,0.0982756,0.988336,0.0588622,0.169391,0
1.3,-0.393823,0.579132,0.0965092,0.987076,0.057199,0.169267,0
1.31,-0.398454,0.567295,0.0946504,0.985708,0.057659,0.169111,0
1.32,-0.427343,0.555611,0.0927374,0.98421,0.0622107,0.168927,0
1.33,-0.479216,0.544424,0.0908124,0.982717,0.0710967,0.168741,0
1.34,-0.55139,0.533883,0.0889083,0.981273,0.0831881,0.16857,0
1.35,-0.633841,0.524,0.0870524,0.979821,0.0960996,0.168407,0
1.36,-0.706009,0.514592,0.0852648,0.97829,0.107426,0.168238,0
1.37,-0.765543,0.505645,0.0835612,0.976686,0.115809,0.168064,0
1.38,-0.791346,0.497325,0.0819832,0.975177,0.120324,0.167895,0
1.39,-0.781646,0.489981,0.0805656,0.974119,0.120531,0.167749,0
1.4,-0.761377,0.483699,0.0793108,0.97355,0.116338,0.167638,0
1.41,-0.733321,0.478553,0.0782157,0.973391,0.109388,0.167558,0
1.42,-0.699653,0.474447,0.0772605,0.973497,0.103416,0.16748,0
1.43,-0.680659,0.471156,0.0764093,0.973327,0.102793,0.167326,0
1.44,-0.669193,0.468167,0.0756329,0.973057,0.10385,0.167148,0
1.45,-0.644365,0.465421,0.0749169,0.973486,0.101921,0.16709,0
1.46,-0.618405,0.463176,0.0742581,0.97389,0.0998125,0.167029,0
1.47,-0.589255,0.461345,0.0736564,0.974224,0.0977529,0.166955,0
1.48,-0.562948,0.459629,0.0730873,0.974405,0.0956733,0.166859,0
1.49,-0.53336,0.457937,0.072553,0.974382,0.0933234,0.166738,0
1.5,-0.511605,0.456831,0.0721514,0.974089,0.0907216,0.16659,0
1.51,-0.492842,0.456478,0.071897,0.973448,0.0875208,0.166408,0
1.52,-0.463965,0.457019,0.0718092,0.972521,0.0825639,0.166198,0
1.53,-0.419788,0.45834,0.0718774,0.971554,0.0748926,0.165989,0
1.54,-0.356518,0.459848,0.0720588,0.970714,0.064557,0.165803,0
1.55,-0.279336,0.461205,0.0722822,0.969983,0.05266,0.165628,0
1.56,-0.201783,0.462484,0.0724767,0.969226,0.0409425,0.165444,0
1.57,-0.13339,0.463355,0.0725883,0.968363,0.0306201,0.165241,0
1.58,-0.091872,0.463428,0.0725883,0.967414,0.0226333,0.165031,0
1.59,-0.0783564,0.462451,0.0724616,0.966508,0.0177964,0.164837,0
1.6,-0.0678384,0.459317,0.0720467,0.965754,0.0168837,0.164688,0
1.61,-0.0627321,0.453598,0.0712771,0.965147,0.0189175,0.164595,0
1.62,-0.0860774,0.44533,0.0701748,0.964523,0.0234811,0.164539,0
1.63,-0.128923,0.434937,0.0688213,0.963475,0.0284412,0.164442,0
1.64,-0.152912,0.423684,0.0673374,0.962172,0.0300462,0.164323,0
1.65,-0.163596,0.41249,0.0658746,0.961328,0.0295833,0.164293,0
1.66,-0.171802,0.401689,0.0645604,0.96042,0.0286363,0.164259,0
1.67,-0.177158,0.391487,0.0634045,0.959418,0.0270033,0.164216,0
1.68,-0.181208,0.381611,0.0622442,0.958331,0.0251163,0.164158,0
1.69,-0.180304,0.370947,0.0608407,0.95719,0.0233485,0.164083,0
1.7,-0.184534,0.359803,0.0592549,0.956023,0.022347,0.16399,0
1.71,-0.188238,0.348646,0.0575623,0.954795,0.0228338,0.163869,0
1.72,-0.204864,0.338028,0.0558404,0.953483,0.0255184,0.16372,0
1.73,-0.240761,0.328448,0.0541676,0.952186,0.0315591,0.163569,0
1.74,-0.291597,0.319944,0.052584,0.951022,0.0401668,0.163441,0
1.75,-0.351153,0.312261,0.0510767,0.949974,0.0496945,0.163339,0
1.76,-0.408584,0.305018,0.0496019,0.948999,0.0583992,0.163253,0
1.77,-0.457716,0.298023,0.048161,0.948051,0.065216,0.163178,0
1.78,-0.477174,0.291509,0.0468434,0.947259,0.0695295,0.163114,0
1.79,-0.469925,0.286185,0.0457718,0.946868,0.0709498,0.163064,0
1.8,-0.465051,0.282516,0.044997,0.946811,0.0695431,0.163032,0
1.81,-0.459671,0.280373,0.0444955,0.947037,0.0668,0.163011,0
1.82,-0.45281,0.279344,0.0442005,0.94742,0.0651482,0.162984,0
1.83,-0.45624,0.278924,0.0440369,0.947612,0.0678231,0.162902,0
1.84,-0.460596,0.278726,0.0439446,0.947794,0.0709079,0.162808,0
1.85,-0.438924,0.278627,0.0438783,0.948357,0.0696575,0.162775,0
1.86,-0.419265,0.278605,0.0438083,0.948885,0.0685535,0.162736,0
1.87,-0.399643,0.278584,0.043711,0.949356,0.0677373,0.162685,0
1.88,-0.380012,0.278436,0.0435686,0.949679,0.0672203,0.162615,0
1.89,-0.364458,0.278193,0.0434003,0.949806,0.0667303,0.162521,0
1.9,-0.353388,0.278211,0.0432763,0.949678,0.0659696,0.162404,0
1.91,-0.342886,0.278641,0.0432286,0.949202,0.0643317,0.162253,0
1.92,-0.321106,0.279563,0.0432704,0.948393,0.0601324,0.162066,0
1.93,-0.276703,0.280835,0.0433952,0.94746,0.0518664,0.161869,0
1.94,-0.201933,0.282081,0.0435819,0.946577,0.0394387,0.161681,0
1.95,-0.107375,0.283278,0.0437982,0.945716,0.0241558,0.161491,0
1.96,-0.00700297,0.284688,0.0440163,0.944739,0.00820117,0.161275,0
1.97,0.0842255,0.286274,0.0442236,0.943552,-0.00671266,0.161021,0
1.98,0.146403,0.287885,0.0444305,0.942179,-0.0188094,0.160742,0
1.99,0.172528,0.289223,0.0446359,0.940787,-0.0256153,0.160471,0
2,0.179131,0.289204,0.0446826,0.939604,-0.0256205,0.160255,0
2.01,0.161641,0.287405,0.0445144,0.938705,-0.0202255,0.16012,0
2.02,0.109364,0.283796,0.0441373,0.937993,-0.0104063,0.160053,0
2.03,0.0487537,0.278718,0.0436013,0.937107,-0.00138368,0.159989,0
2.04,0.0111533,0.27318,0.0429854,0.936198,0.00299362,0.159938,0
2.05,-0.00438945,0.267685,0.042386,0.935442,0.00291538,0.159922,0
2.06,-0.0139122,0.262173,0.0418692,0.934619,0.00255463,0.159904,0
2.07,-0.0254128,0.256756,0.0414107,0.93372,0.00196634,0.159877,0
2.08,-0.0351303,0.250951,0.0408483,0.932745,0.00130961,0.159839,0
